nohup: ignoring input
Training mode
Episode 1 | Step 466 | Step Reward: -0.0
Episode 1 | Step 467 | Step Reward: -0.0
Episode 1 | Step 468 | Step Reward: -0.0
Episode 1 | Step 469 | Step Reward: -0.0
Episode 1 | Step 470 | Step Reward: -0.0
Episode 1 | Step 471 | Step Reward: -0.0
Episode 1 | Step 472 | Step Reward: -0.0
Episode 1 | Step 473 | Step Reward: -0.0
Episode 1 | Step 474 | Step Reward: -0.0
Episode 1 | Step 475 | Step Reward: -0.0
Episode 1 | Step 476 | Step Reward: -0.0
Episode 1 | Step 477 | Step Reward: -0.0
Episode 1 | Step 478 | Step Reward: -0.0
Episode 1 | Step 479 | Step Reward: -0.0
Episode 1 | Step 480 | Step Reward: -0.0
Episode 1 | Step 481 | Step Reward: -0.0
Episode 1 | Step 482 | Step Reward: -0.0
Episode 1 | Step 483 | Step Reward: -0.0
Episode 1 | Step 484 | Step Reward: -0.0
Episode 1 | Step 485 | Step Reward: -0.0
Episode 1 | Step 486 | Step Reward: -0.0
Episode 1 | Step 487 | Step Reward: -0.0
Episode 1 | Step 488 | Step Reward: -0.0
Episode 1 | Step 489 | Step Reward: -0.0
Episode 1 | Step 490 | Step Reward: -0.0
Episode 1 | Step 491 | Step Reward: -0.0
Episode 1 | Step 492 | Step Reward: -0.0
Episode 1 | Step 493 | Step Reward: -0.0
Episode 1 | Step 494 | Step Reward: -0.0
Episode 1 | Step 495 | Step Reward: -0.0
Episode 1 | Step 496 | Step Reward: -0.0
Episode 1 | Step 497 | Step Reward: -0.0
Episode 1 | Step 498 | Step Reward: -0.0
Episode 1 | Step 499 | Step Reward: -0.0
Episode 1 | Step 500 | Step Reward: -0.0
Episode 1 | Step 501 | Step Reward: -0.0
Episode 1 | Step 502 | Step Reward: -0.0
Episode 1 | Step 503 | Step Reward: -0.0
Episode 1 | Step 504 | Step Reward: -0.0
Episode 1 | Step 505 | Step Reward: -0.0
Episode 1 | Step 506 | Step Reward: -0.0
Episode 1 | Step 507 | Step Reward: -0.0
Episode 1 | Step 508 | Step Reward: -0.0
Episode 1 | Step 509 | Step Reward: -0.0
Episode 1 | Step 510 | Step Reward: -0.0
Episode 1 | Step 511 | Step Reward: -0.0
Episode 1 | Step 512 | Step Reward: -0.0
Episode 1 | Step 513 | Step Reward: -0.0
Episode 1 | Step 514 | Step Reward: -0.0
Episode 1 | Step 515 | Step Reward: -0.0
Episode 1 | Step 516 | Step Reward: -0.0
Episode 1 | Step 517 | Step Reward: -0.0
Episode 1 | Step 518 | Step Reward: -0.0
Episode 1 | Step 519 | Step Reward: -0.0
Episode 1 | Step 520 | Step Reward: -0.0
Episode 1 | Step 521 | Step Reward: -0.0
Episode 1 | Step 522 | Step Reward: -0.0
Episode 1 | Step 523 | Step Reward: -0.0
Episode 1 | Step 524 | Step Reward: -0.0
Episode 1 | Step 525 | Step Reward: -0.0
Episode 1 | Step 526 | Step Reward: -0.0
